MovieTitle,ReleaseYear,RunTime,Genres,DirectorName,Rating,Studio,OriginCountry,OriginalLanguage,cast
Sarpatta Parambarai,2021,174 mins   More at IMDb TMDB  Report this page,"Action, History, Drama",Pa. Ranjith,3.99 out of 5,Neelam Productions,India,Tamil,"Arya, Pasupathy, Kalaiyarasan, John Vijay, John Kokken, Shabeer Kallarakkal, G. M. Sundar, Dushara Vijayan, Kaali Venkat, Sanchana Natarajan, Anupama Kumar, Muthukumar, Santhosh Prathap, Kishore, Maran, Saravana Vel, Sai Tamil, Tiger Thangadurai, Geetha Kailasam, Priyadarshini Rajkumar, Supergood Subramani, Sindhuja Viji, Karuppu Nambiyar"
"Monica, O My Darling",2022,129 mins   More at IMDb TMDB  Report this page,"Drama, Mystery, Comedy, Crime",Vasan Bala,3.50 out of 5,Matchbox Shots,India,Hindi,"Rajkummar Rao, Huma Qureshi, Radhika Apte, Sikandar Kher, Bagavathi Perumal, Akansha Ranjan Kapoor, Zayn Marie Khan, Sukant Goel, Shiva Rindani, Vijay Kenkre, Faisal Rashid, Radhikka Madan, Abhimanyu Dasani, Shilpa Iyer, Gyanesh Upadhyay, Man Singh Karamati"
Anand,1971,122 mins   More at IMDb TMDB  Report this page,Drama,Hrishikesh Mukherjee,3.87 out of 5,Rupam Chitra,India,Hindi,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo, Seema Deo, Lalita Pawar, Johnny Walker, Dev Kishan, Durga Khote, Asit Sen, Lalita Kumari, Dara Singh, Brahm Bhardwaj, Atma Prakash"
Vikram Vedha,2017,147 mins   More at IMDb TMDB  Report this page,"Action, Crime, Adventure, Thriller",Pushkar,3.88 out of 5,Y NOT Studios,India,Tamil,"R. Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir, Varalaxmi Sarathkumar, Prem, Hareesh Peradi, Achyuth Kumar, Vivek Prasanna, Manikandan, Amarendran Ramanan, E. Ramadoss, Rajkumar, Gopi Kannadasan"
War,2019,152 mins   More at IMDb TMDB  Report this page,"Adventure, Action, Thriller",Siddharth Anand,3.01 out of 5,Yash Raj Films,India,Hindi,"Hrithik Roshan, Tiger Shroff, Ashutosh Rana, Anupriya Goenka, Soni Razdan, Yash Raaj Singh, Vaani Kapoor, Dishita Sehgal, Dipannita Sharma, Mashhoor Amrohi, Sanjeeva Vats, R. Bhakti Klein, Arif Zakaria, Swaroopa Ghosh, Imran Ahamed, Jessey Lever, Amit Gaur, Ravi Awana, Anil Khopkar, Rishabh Shukla, Manoj Pandey, Mohit Chauhan"
Laal Singh Chaddha,2022,164 mins   More at IMDb TMDB  Report this page,"History, Romance, Family, Drama",Advait Chandan,3.23 out of 5,Aamir Khan Productions,India,Hindi,"Aamir Khan, Kareena Kapoor Khan, Naga Chaitanya Akkineni, Mona Singh, Manav Vij, Kamini Kaushal, Ahmad Ibn Umar, Hafsa Ashraf, Gitikka Ganju Dhar, Rohaan Singh, Shah Rukh Khan, Aarya Sharma, Nazneen Madan, Arun Bali, Jagat Rawat, Harry Parmar, Shrikant Verma, Guneet Singh Sodhi, Shiv Panditt, Yuri Suri, Sowmyashree Belur, Karim Hajee"
Viduthalai: Part II,2024,172 mins   More at IMDb TMDB  Report this page,"Action, Drama, Thriller",Vetrimaaran,3.41 out of 5,R S Infotainment,India,Tamil,"Vijay Sethupathi, Soori, Manju Warrier, Kishore, Bhavani Sre, Gautham Vasudev Menon, Rajiv Menon, Bose Venkat, Manobala, Vincent Asokan, Anurag Kashyap, Ilavarasu, Balaji Sakthivel, Saravana Subbiah, Tamizh, Chetan, Aryan, Munnar Ramesh, Pavel Navageethan, Sardar Satya, Ken Karunas, Bala Hasan, Sundareswaran CVC, Aruldoss, R. Velraj, Sampath Ram, Sindhujaavijii, R. Ganesh Gurung, Surya Sethupathi, Ashik Merlin"
The Great Indian Kitchen,2021,100 mins   More at IMDb TMDB  Report this page,Drama,Jeo Baby,3.99 out of 5,Mankind Cinemas,India,Malayalam,"Nimisha Sajayan, Suraj Venjaramoodu, Ajitha V M, T. Suresh Babu, Ramadevi Kannanchery, Sidhartha Siva, Anupama V. P., Nishitha Kallingal, Kabani, Gireesh Perincheeri, Aparna Sivakami, Suresh Achoos, Anagha Ashok, M. V. Suresh Babu, Nidhin Panicker, Jeo Baby, Shinoy G, Francis Louis, Sudhi Kozhikode"
No Smoking,2007,126 mins   More at IMDb TMDB  Report this page,"Drama, Thriller",Anurag Kashyap,3.67 out of 5,Big Screen Entertainment,India,Hindi,"John Abraham, Ayesha Takia, Paresh Rawal, Ranvir Shorey, Kiku Sharda, Vikramaditya Motwane, Jesse Randhawa, Bipasha Basu, Anurag Kashyap, Pravishi Das, Rasika Dugal, Ramakant Dayma"
Lootera,2013,136 mins   More at IMDb TMDB  Report this page,"Drama, Romance",Vikramaditya Motwane,3.79 out of 5,Balaji Motion Pictures,India,Hindi,"Ranveer Singh, Sonakshi Sinha, Adil Hussain, Vikrant Massey, Arif Zakaria, Barun Chanda, Divya Dutta, Shirin Guha, Amit Saha"
Dhoom 3,2013,171 mins   More at IMDb TMDB  Report this page,"Action, Crime",Vijay Krishna Acharya,2.69 out of 5,Yash Raj Films,India,Hindi,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff, Tabrett Bethell, Andrew Bicknell, Riya Ray, Elizabeth Reiners, Jacqueline Scislowski, Kim DeJesus, Parth Suri, Michael L. Howard, Michael David Hammond, Madison Moran, Arlo Sarinas, Caprice Cole"
Anweshippin Kandethum,2024,143 mins   More at IMDb TMDB  Report this page,"Thriller, Crime, Drama",Darwin Kuriakose,3.32 out of 5,Theatre of Dreams,India,Malayalam,"Tovino Thomas, Vineeth Thattil David, Siddique, Pramod Veliyanad, Indrans, Baburaj, Shammi Thilakan, Ramya Suvi, Rahul Rajagopal, Arthana Binu, Aswathy Manoharan, Nandhu, Nishanth Sagar, Alencier Ley Lopez, Azees Nedumangad, Anagha Maya Ravi, Arun Ajikumar, Balaji Sarma, Saranya R Nair, Hareesh Pengan, Sadiq, Manu, Kottayam Nazeer, Vettukili Prakash, Sreejith Ravi, Harisree Ashokan, Madhupal, Prem Prakash, Vishnu G. Varrier, Aadhya Prasad, Kunhikkannan Cheruvathoor"
Mahaan,2022,163 mins   More at IMDb TMDB  Report this page,"Drama, Action, Crime",Karthik Subbaraj,3.58 out of 5,Seven Screen Studios,India,Tamil,"Vikram, Dhruv Vikram, Bobby Simha, Simran, Sananth, Muthukumar, Ramachandran Durairaj, Subathra Robert, Deepak Paramesh, Gajaraj, Aadukalam Naren, Raaghavan Murugan, Akshath Das, Balaji Sakthivel, Vani Bhojan, Murugavel, Vishalini Daniel, Benito Franklin"
Game Changer,2025,164 mins   More at IMDb TMDB  Report this page,"Drama, Action",Shankar,2.06 out of 5,Sri Venkateswara Creations,India,Telugu,"Ram Charan, Anjali, Kiara Advani, S. J. Suryah, Srikanth, Jayaram, Samuthirakani, Sunil Varma, Naveen Chandra, Rajiv Kanakala, Subhalekha Sudhakar, Prudhviraj, Raghu Babu, Banerjee, Brahmanandam, Naresh, Viswant Duddumpudi, Ananya Sharma, Satya, Chaitanya Krishna, Harsha Chemudu, Nellore Sudharshan, Venkatesh Kakumanu, Priyadarshi Pullikonda, Racha Ravi, Kishore Kumar Polimera, Achyuth Kumar, Vennela Kishore, Srikanth Iyengar, Ajay Ghosh, Krishnudu, Raghu Karumanchi, Rocket Raghava, Gundu Sudarshan, Yashika Anand, Shankar, Ganesh Acharya, Prudhvi Moses"
Anbe Sivam,2003,160 mins   More at IMDb TMDB  Report this page,"Drama, Comedy",Sundar C,4.17 out of 5,Lakshmi Movie Makers,India,Tamil,"Kamal Haasan, R. Madhavan, Nassar, Kiran Rathod, Santhana Bharathi, Seema, Yugi Sethu, R.S. Shivaji, Vichu Vishwanath, Balu Anand, Ilavarasu, Muthukalai, Uma Riyaz Khan, Pasi Sathya, Nellai Siva, Thiruppaachi Benjamin, Poovilangu Mohan, Kalairani, Krishnamoorthy, Madhan, Vasanthi Guru"
Laila Majnu,2018,139 mins   More at IMDb TMDB  Report this page,"Drama, Romance",Sajid Ali,3.61 out of 5,Balaji Motion Pictures,India,Hindi,"Avinash Tiwary, Triptii Dimri, Mir Sarwar, Benjamin Gilani, Parmeet Sethi, Sumit Kaul, Farhana Bhat, Sahiba Bali, Shagufta Ali, Vasundhara Kaul, Abrar Qazi, Sujata Sehgal"
Hridayam,2022,172 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Vineeth Sreenivasan,3.37 out of 5,Big Bang Entertainments,India,Malayalam,"Pranav Mohanlal, Darshana Rajendran, Kalyani Priyadarshan, Aswath Lal, Vijayaraghavan, Arun Kurian, Aju Varghese, Athul Ram Kumar, Ann Saleem, Johny Antony, Annu Antony, Abishek Joseph George, Megha Thomas, Shaun Romy, Shiva Hariharan, Jojo Jose, Jishnu Sreekumar, Kurian Joseph John, Sanjay Menon, Kalesh Ramanand, Kaushik MV, Thangapandiyan, AR Raja Ganesh, Aravindan R, Ajeesh Jose, Shersha Sherief, Sangeeth Prathap, Ramesh Menon, Nikhil Nair, Serah Mathews, Thushara Pillai, Maria Vincent, Meenakshi Raveendran, Manjula Mohandas, Adithyan Chadrashekar, Vineeth Sreenivasan, Mathukutty, Ajith Thomas Abraham, Vyshnavi Kalyani, Sooraj Sun, Vishak Nair"
Parking,2023,127 mins   More at IMDb TMDB  Report this page,"Thriller, Drama",Ramkumar Balakrishnan,3.57 out of 5,Passion Studios,India,Tamil,"M. S. Bhaskar, Harish Kalyan, Indhuja Ravichandran, Rama, Prathana Nathan, Ilavarasu"
The Disciple,2020,128 mins   More at IMDb TMDB  Report this page,"Music, Drama",Chaitanya Tamhane,3.66 out of 5,Zoo Entertainment,India,Marathi,"Aditya Modak, Arun Dravid, Sumitra Bhave, Deepika Bhida Bhagwat, Kiran Yadnyopavit, Abhishek Kale, Neela Khedkar, Makarand Mukund, Kristy Banerjee, Prasad Vanarse"
Maqbool,2003,132 mins   More at IMDb TMDB  Report this page,"Drama, Crime",Vishal Bhardwaj,3.89 out of 5,Kaleidoscope Entertainment Pvt. Ltd.,India,Hindi,"Irrfan Khan, Tabu, Pankaj Kapur, Om Puri, Naseeruddin Shah, Piyush Mishra, Ankur Vikal, Ajay Gehi, Masumeh Makhija, Pubali Sanyal, Shammi Narang, Murali Sharma, Manav Kaushik, Gyanchand Rikhi, Firdaus Irani, Deepak Dobriyal, Abbas Tyrewala, Vivek Mishra, Shweta Menon, Vinod Nahadri, Dibyendu Bhattacharya"
Thallumaala,2022,146 mins   More at IMDb TMDB  Report this page,"Action, Drama, Comedy",Khalid Rahman,3.56 out of 5,Ashiq Usman Productions,India,Malayalam,"Tovino Thomas, Lukman Avaran, Swathi Das Prabhu, Adhri Joe, Austin Dan, Shine Tom Chacko, Kalyani Priyadarshan, Binu Pappu, Gokulan, Johny Antony, Neena Kurup, Assim Jamal, Shafi Kollam, Bhanumathi Payyanur, James Eliya, Dhaneesh Balan, Ann Saleem, V P Khalid, Tanvi Ram, Mashar Hamsa, Chemban Vinod Jose, Salim Kumar, Vishnu Vijay, Unni Raja"
Munna Bhai M.B.B.S.,2003,156 mins   More at IMDb TMDB  Report this page,"Drama, Comedy",Rajkumar Hirani,3.71 out of 5,Vidhu Vinod Chopra Productions,India,Hindi,"Sanjay Dutt, Arshad Warsi, Boman Irani, Gracy Singh, Sunil Dutt, Rohini Hattangadi, Jimmy Shergill, Kurush Deboo, Yatin Karyekar, Mumaith Khan, Bomie E. Dotiwala, Pushkar Shrotri, Nawazuddin Siddiqui, Neha Dubey, Rohitashv Gour, Surendra Rajan, Khurshed Lawyer, Priya Bapat, Vishal Thakkar, Anuradha Chandan"
Stolen,2023,94 mins   More at IMDb TMDB  Report this page,"Drama, Thriller",Karan Tejpal,3.72 out of 5,Jungle Book Studio,India,Hindi,"Abhishek Banerjee, Mia Maelzer, Shubham Vardhan, Harish Khanna, Sahidur Rahaman, Baby Tanya, Shrishti, Lovekush Kundu, Bhanu, Kritika Avasthi, Nirupama Verma"
Ludo,2020,150 mins   More at IMDb TMDB  Report this page,"Comedy, Crime",Anurag Basu,3.44 out of 5,T-Series,India,Hindi,"Pankaj Tripathi, Abhishek Bachchan, Inayat Verma, Rajkummar Rao, Fatima Sana Shaikh, Aditya Roy Kapur, Sanya Malhotra, Rohit Saraf, Pearle Maaney, Asha Negi, Bhanu Uday, Shalini Vatsa, Geetanjali Mishra, Ishtiyak Khan, Anurag Basu, Rahul Bagga, Aarti Ashar, Aman Bhagat, Paritosh Tripathi, Akash Mahamana, Sundeep Varma, Alok Panwar"
Sector 36,2024,124 mins   More at IMDb TMDB  Report this page,"Thriller, Crime, Drama",Aditya Nimbalkar,3.26 out of 5,Maddock Films,India,Hindi,"Vikrant Massey, Deepak Dobriyal, Akash Khurana, Darshan Jariwala, Baharul Islam, Ivana Kaur, Mahadev Singh Lakhawat, Ajeet Singh Palawat, Kacho Ahmad, Fareed Ahmad, Subir Bisawas, Arindol Bagchi, Varun Bhiletia, Raj Singh Rawat, Anushree Das, Trimala Adhikari, Vijay Wanchoo, Ipshita Palawat, Monu Khatri, Prisha Srivastava, Krishiv Nanda, Deepti Kumar"
Por Thozhil,2023,148 mins   More at IMDb TMDB  Report this page,"Thriller, Action, Crime",Vignesh Raja,3.67 out of 5,E4 Entertainments,India,Tamil,"Ashok Selvan, R. Sarathkumar, Sarath Babu, Nikhila Vimal, P.L. Thenappan, O. A. K. Sundar, Nizhalgal Ravi, Harish Kumar, Santhosh Keezhattoor, Sunil Sukhada, Lisha P Chandran"
Jab Tak Hai Jaan,2012,176 mins   More at IMDb TMDB  Report this page,"Drama, Romance",Yash Chopra,3.16 out of 5,Yash Raj Films,India,Hindi,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Sarika, Andrew Bicknell, Sharib Hashmi, Jasmine Jardot, Gireesh Sahedev, Amarinder Sodhi, Varun Thakur, Jay Conroy, Anupam Kher, Rishi Kapoor, Neetu Singh, Kumud Pant, Jon Wennington"
Kaathal - The Core,2023,112 mins   More at IMDb TMDB  Report this page,Drama,Jeo Baby,3.71 out of 5,Mammootty Kampany,India,Malayalam,"Mammootty, Jyothika, R. S. Panicker, Anagha Maya Ravi, Sudhi Kozhikode, Alister Alex, Joji Mundakayam, Chinnu Chandini Nair, Muthumani Somasundaran, Josey Sijo, Kalabhavan Haneef, Adarsh Sukumaran, Amal Sukumaran, Arsha, Sherin Maryam Shaji, Paulson Skaria, Music Jeo, Abraham Edayadi, Sebi Bastin, Dixon Poduthas, Avusepachan Philip, Kumar Sunil, Noby Thalanadu, Deepna, Faizal, Mithula Thomas, Ambili, Mini, Elamma Jacob, Sajeev Kumar, Jeo Baby, Pooja Mohanraj, Beena, Akhil Anandan, Omkar Wrishi, Nidhin Vijay, Anagh Mrudula, Anu Kurian, Rekha Lakshmi, Shashi Kasare, Shiny, Shiny Sarah, Nigil Soman, Rajeev Rajan, Amrutha Vijai, Shajie Naduvil, Salu K Thomas, Suryalal Shivaji, Aslam Pullepady, Martin N. Joseph, Jomol, Harikrishnan"
Norm of the North,2016,86 mins   More at IMDb TMDB  Report this page,"Comedy, Family, Adventure, Animation",Trevor Wall,1.42 out of 5,Lionsgate,India,English,"Rob Schneider, Heather Graham, Maya Kay, Ken Jeong, Bill Nighy, Colm Meaney, Charlie Adler, Gabriel Iglesias, Zachary Gordon, Kate Higgins, Michael McElhatton, Salome Jens, Janet Varney, Dan Gordon, Loretta Devine, Ben Diskin, Emily Polydoros, Eric Price, Nick Shakoour, Jess Harnell, G.K. Bowes, Mikey Kelley, Rick D. Wasserman, Rove McManus, Keith Ferguson, Debi Derryberry, Max Spitz, James Corden, Omar Sy"
Mukundan Unni Associates™,2022,127 mins   More at IMDb TMDB  Report this page,"Drama, Crime, Comedy",Abhinav Sunder Nayak,3.86 out of 5,Joy Movie Productions,India,Malayalam,"Vineeth Sreenivasan, Suraj Venjaramoodu, Sudhi Koppa, Arsha Baiju, Tanvi Ram, Manikandan Pattambi, Biju Sopanam, Ranjith, Jagadish, George Kora, Althaf Salim, Sudheesh, Sreejith Ravi, Sudheer Paravoor, Nimisha Mohan, Riya Saira, Noble Babu Thomas, Vijayan Karanthoor, Ashlee Issac Abraham, Asha Madathil Sreekanth, Geethi Sangeetha, Basil Joseph, Salim Kumar, Thankam Mohan, Bhavana Babu, Abhijith K K, Arun Kurian"
83,2021,160 mins   More at IMDb TMDB  Report this page,"Drama, History",Kabir Khan,3.43 out of 5,Kabir Khan Films,India,Hindi,"Ranveer Singh, Pankaj Tripathi, Tahir Raj Bhasin, Jiiva, Saqib Saleem, Ammy Virk, Sahil Khattar, Harrdy Sandhu, Jatin Sarna, Dhairya Karwa, Nishant Dahiya, Adinath Kothare, Chirag Patil, Dinker Sharma, R. Badree, Deepika Padukone, Boman Irani, Neena Gupta, Wamiqa Gabbi, Rajiv Gupta, Brijendra Kala, Neeraj Sood, Parvatii Nair, Sheryl Bennett, Samreen Kaur, Aditi Arya, Satish Alekar, Mohinder Amarnath, Anjum Batra, Happy Singh, Jacques Taylor, Avantika Akerkar, Veer Batheja, Zeeshan Nadaf, Mali Marshall, Orson Nurse, Ruel Brathwaite, Munyaradzi Mlambo, Adam Brown, David Burton, Kapil Dev, Tagenarine Chanderpaul, Swetha Vinod, Robert Ryan, Simon Balfour, Samantha Glendinning, Jon Wennington, Guy Normas, Paul Blackwell"
Ugly,2013,128 mins   More at IMDb TMDB  Report this page,"Crime, Thriller, Mystery, Drama",Anurag Kashyap,3.73 out of 5,Phantom Films,India,Hindi,"Ronit Roy, Rahul Bhat, Vineet Kumar Singh, Tejaswini Kolhapure, Girish Kulkarni, Surveen Chawla, Siddhanth Kapoor, Abir Goswami, Anshika Shrivastava, Madhavi Singh, Saharsh Kumar Shukla, Alia Bhatt"
Ratsasan,2018,170 mins   More at IMDb TMDB  Report this page,"Mystery, Crime, Thriller",Ram Kumar,3.78 out of 5,Axess Film Factory,India,Tamil,"Vishnu Vishal, Amala Paul, Suzane George, Munishkanth, Kaali Venkat, Radha Ravi, Ammu Abhirami, Monekha Siva, Vinod Sagar, Nizhalgal Ravi, Vinodhini Vaidyanathan, Saravanan, Yazar Arafath, Ragavi Renu, Neha Menon, Sangili Murugan, Pasupathi Raj, Gajaraj, Raveena Daha, Adhithri Dinesh, Ghibran, Karunakaran"
Ante... Sundaraniki!,2022,173 mins   More at IMDb TMDB  Report this page,"Comedy, Romance, Family",Vivek Athreya,3.66 out of 5,Mythri Movie Makers,India,Telugu,"Nani, Nazriya Nazim, Naresh, Rohini, N. Azhagamperumal, Nadhiya, Harshavardhan, Anupama Parameswaran, Aruna Bhikshu, Srikanth Iyengar, Venkatesh Maha, Tanvi Ram, Prudhviraj, Rahul Ramakrishna, Sai Ronak, Ali Basha, Pavitra Lokesh"
Iratta,2023,110 mins   More at IMDb TMDB  Report this page,"Thriller, Drama",Rohith Krishnan,3.55 out of 5,Appu Pathu Pappu Production House,India,Malayalam,"Joju George, Srikant Murali, Arya Salim, Manoj K U, Sabumon Abdusamad, Abhiram Radhakrishnan, Sreeja Ajith, Anjali, Srindaa, Meenakshi Dinesh, Shebin Benson, Sarath Sabha, Jithu Ashraf, Pooja Mohanraj, Deepu G Panicker, James Eliya, Sruthy Suresh, Sruthi Jayan, Kichu Tellus, Dhanesh Anand"
Madgaon Express,2024,145 mins   More at IMDb TMDB  Report this page,"Comedy, Drama",Kunal Khemu,3.18 out of 5,Excel Entertainment,India,Hindi,"Divyendu Sharma, Pratik Gandhi, Avinash Tiwary, Upendra Limaye, Chhaya Kadam, Nora Fatehi, Aryan Prajapati, Yash Bhojwani, Jewel Narigara, Sameer Patil, Sonali Lele Desai, Shiv Narayan, Alpana Buch, Aahaan Desai, Kunal Khemu, Bandana Dogra, Loanna Aleksandrova, Vipul Deshpande, Aradhana Sharma, Remo D'Souza, Pallavi Wagh, Sunita Shirloskar, Umesh Jagtap, Monnica Rae Laher, Madhuri Shinde, Dipti Pranav, Sarbjit Kaur, Marcel D'souza, Anelisa Decosta, Shrikant Babubhai Devani, Digambar, Gyanendra Dubey, Manju Gangwane, Ditvi Gaonkar, Anupam Hinge, Rohan Jadhav, Vinod Jaywant, Manoj Joshi, Raviraj Kande, Yash Kapre, Azroo Khan, Zoya Khan, Rakesh Kumar, Khabir Mehta, Himanshu Mishra, Manha Mohammed, Nikolai Musalkov, Mithun Purandare, Kaavya Ramani, Sagar Rambhaiya, Chandrakala Satam, David Sharma, Madhuri Gawali Shinde"
Hera Pheri,2000,156 mins   More at IMDb TMDB  Report this page,"Crime, Comedy",Priyadarshan,3.81 out of 5,A.G. Films,India,Hindi,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Gulshan Grover, Kulbhushan Kharbanda, Om Puri, Razak Khan, Mukesh Khanna, Kashmera Shah, Govardhan Asrani, Dinesh Hingoo, Namrata Shirodkar, Snehal Dabi"
Kingdom,2025,160 mins   More at IMDb TMDB  Report this page,"Action, Thriller, Drama",Gowtam Tinnanuri,2.63 out of 5,Sithara Entertainments,India,Telugu,"Vijay Deverakonda, Satyadev Kancharana, Venkitesh V P, Bhagyashri Borse, Ronit Kamra, Baburaj, Ayyappa P. Sharma, Bhanu Prakashan, Sriram Reddy Polasane, Manish Chaudhary, Manikanta Varanasi, Rajkumar Kasireddy, Keshav Deepak, Mahesh Achanta, Ravi Krishna, Navya Swamy, Bhoomi Shetty, Rohini, Ajith Koshy, Goparaju Ramana, Posani Krishna Murali, Sravan Raghavendra"
Asuran,2019,141 mins   More at IMDb TMDB  Report this page,"Drama, Action",Vetrimaaran,3.94 out of 5,V Creations,India,Tamil,"Dhanush, Manju Warrier, Ken Karunas, Teejay, Pasupathy, Prakash Raj, Ammu Abhirami, Balaji Sakthivel, Subramaniam Siva, Aadukalam Naren, Pawan, Bala Hasan, Tamizh, A. Venkatesh, Nithish Veera, R. Velraj, Sentrayan, Munnar Ramesh, Subathra Robert, Asuran Krishna"
Ship of Theseus,2012,143 mins   More at IMDb TMDB  Report this page,Drama,Anand Gandhi,4.06 out of 5,Recyclewala Films,India,Hindi,"Aida El Kashef, Sohum Shah, Neeraj Kabi, Vinay Shukla, Faraz Khan, Amba Sanyal, Sameer Khurana, Vipul Binjola, Hannan Youssef, Narendra Shah, Chitra Shah, Manan Shah, Aishwarya Bhaskar, Sidharth Meer, Bonnie Chenevier, Balaji Janardhan, Abbas K., Bharat Pardesi, Pradeep Sinha, Akhtar Bhale"
Iruvar,1997,140 mins   More at IMDb TMDB  Report this page,"History, Drama",Mani Ratnam,4.14 out of 5,Madras Talkies,India,Tamil,"Mohanlal, Prakash Raj, Aishwarya Rai Bachchan, Gautami Tadimalla, Revathi, Tabu, Nassar, Kaaka Radhakrishnan, Major Sundarrajan, Rajesh, Delhi Ganesh, Nizhalgal Ravi, Kalpana Iyer, S. N. Lakshmi, Gowtham Sundararajan, Sujitha, Vishnu Varadhan, Monica, Laxmi Rattan, C. K. Saraswathi, P. L. Narayana, Cheenu Mohan, Madhoo, Rohini"
Sapta Sagaradaache Ello - Side B,2023,146 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Hemanth M. Rao,3.70 out of 5,Paramvah Studios,India,Kannada,"Rakshit Shetty, Rukmini Vasanth, Chaithra J Achar, JP Tuminad, Gopalkrishna Deshpande, Ramesh Indira, Bharath GB, Achyuth Kumar, Yamuna Srinidhi, Arjun Kaje, Aman Karkera, Pavitra Lokesh, Kaliprasad, Balu, Anand Ninasam, Akshan S. Karkera, Krishna Kamal K., Salman Ahmad M., Bharath G B, Anushka Umashankar, Shamanth N. Kendappa, Aruna Geetha, Mahesh Handigol, Kruthi, S. Venkatesh, Ravi Kumar G., Gururaj, Ramkumar, Mohan Holenarsipura, Manini P. Rao, Gururaj Shetty"
Kabhi Alvida Naa Kehna,2006,193 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Karan Johar,2.86 out of 5,Dharma Productions,India,Hindi,"Shah Rukh Khan, Rani Mukerji, Abhishek Bachchan, Preity Zinta, Amitabh Bachchan, Kirron Kher, Ahsaas Channa, Arjun Rampal, John Abraham, Kajol, Karan Johar, Kate Braithwaite"
Krrish,2006,174 mins   More at IMDb TMDB  Report this page,"Action, Science Fiction",Rakesh Roshan,2.89 out of 5,Film Kraft,Hong Kong,Hindi,"Hrithik Roshan, Priyanka Chopra Jonas, Rekha, Naseeruddin Shah, Sharat Saxena, Manini Mishra, Archana Puran Singh, Hemant Pandey, Puneet Issar, Xia Bin, Yu Xuan, Akash Khurana, Micky Dhamijani, Kiran Juneja, Preity Zinta"
Talvar,2015,132 mins   More at IMDb TMDB  Report this page,"Mystery, Thriller, Drama",Meghna Gulzar,3.79 out of 5,Vishal Bhardwaj Pictures,India,Hindi,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Prakash Belawadi, Sohum Shah, Sumit Gulati, Tabu, Shishir Sharma, Gajraj Rao, Ayesha Parveen, Atul Kumar, Kiran Khoje, Chittaranjan Tripathy"
Satya,1998,170 mins   More at IMDb TMDB  Report this page,"Crime, Drama",Ram Gopal Varma,4.04 out of 5,Varma Corporation,India,Hindi,"J. D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar, Shefali Shah, Saurabh Shukla, Govind Namdeo, Makrand Deshpande, Paresh Rawal, Aditya Srivastava, Raju Mavani, Snehal Dabi, Jeeva, Sabir Masani, Sushant Singh, Manoj Pahwa, Sanjay Mishra, Neeraj Vora, Rajeev Mehta, Mithilesh Chaturvedi, Rajesh Joshi"
Soorarai Pottru,2020,149 mins   More at IMDb TMDB  Report this page,"Action, Drama",Sudha Kongara Prasad,3.80 out of 5,2D Entertainment,India,Tamil,"Suriya, Aparna Balamurali, Paresh Rawal, Mohan Babu, Urvashi, Karunas, 'Poo' Ram, Krishnakumar Balasubramanian, Vivek Prasanna, Kaali Venkat, Vinodhini Vaidyanathan, Prakash Belawadi, Achyuth Kumar, R.S. Shivaji, Ramachandran Durairaj, G. Gnanasambandam, Supergood Subramani, RJ Ananthi, Senthil Kumar, Malini Sathappan, Swaminathan, Arjunan Nandakumar, Vishalini Daniel, Sithan Mohan"
Lover,2024,145 mins   More at IMDb TMDB  Report this page,"Romance, Drama",Prabhuram Vyas,3.37 out of 5,Million Dollar Studios,India,Tamil,"Manikandan, Sri Gouri Priya Reddy, Kanna Ravi, Harini Sundararajan, Harish Kumar, Saravanan, Geetha Kailasam, Nikhila Sankar, Arunachaleshwaran, Pintu Pandu"
Aashiqui 2,2013,132 mins   More at IMDb TMDB  Report this page,"Drama, Romance",Mohit Suri,3.42 out of 5,T-Series,India,Hindi,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa, Mahesh Thakur, Salil Acharya, Mahesh Bhatt, Soumyajit Majumdar, Milind Pathak"
Jigarthanda,2014,170 mins   More at IMDb TMDB  Report this page,"Crime, Comedy, Music, Thriller",Karthik Subbaraj,4.04 out of 5,Shri Meenakshi Creations,India,Tamil,"Siddharth, Bobby Simha, Karunakaran, Lakshmi Menon, Ramachandran Durairaj, Kaalaiyan, Guru Somasundaram, Sangili Murugan, Aadukalam Naren, Ambika, Soundara Raja, Senthil Kumaran, Vijay Sethupathi, Nassar, Thennavan, Bala Singh, Vinodhini Vaidyanathan, Ajay Rathnam, Rajkumar, Anthony Daasan, Vijay Muthu, Munnar Ramesh, Gajaraj, Delhi Ganesh, Bombay Gnanam, Bagavathi Perumal, Bava Lakshmanan, Baba Baskar, Billa Jagan, Tiger Thangadurai, Abhishek Raaja, Leo Sivadass, Nalan Kumarasamy, Karthikeyan, Sathya Prema, Vetrimaaran, Aadukalam Murugadoss"
